name,job,organization,gender,tweet_count,hebrew_name,retweet_count,avg_retweet_count,favorite_count,avg_favorite_count,word_count,avg_word_count,char_count,avg_char_count,negative,neutral,positive,compound,text,traffic_count,avg_traffic_count
103FM,Media,,,38,103FM,20,0.5263157894736842,595,15.657894736842104,661,17.394736842105264,2877,75.71052631578948,0.0396578947368421,0.8776578947368421,0.08265789473684211,0.09173157894736841,"ronkofman1 הצטרפו לתוכנית הספורט עם רון קופמן וצביקה שרף חכ הילה שי וזאן hvazan כחול לבן מכחישה שהיא בדרך למפלגה של גדעון סער אני נשארת בכחול לבן זה ספינים של אנשים חכ הילה שי וזאן hvazan כחול לבן מכחישה שהיא בדרך למפלגה של גדעון סער אני נשארת בכחול לבן זה ספינים של אנשים סקרים כחול לבן מתקרבת לאחוז החסימה  חכ הילה שי וזאן hvazan כחול לבן ויתור על ניסנקורן במשפטים זה ספין של הליכ rt bencaspit משאל radio103fm 
מבצע החיסונים מתחיל בשבוע הבא מי צריך להתחסן ראשון חמש עם בן כספית ואריה אלדד צפו bencaspit eldadarieh עכשיו בחמש עם bencaspit וeldadarieh מדדים לבחירות עם חכ הילה שי וזאן מכחלב וחכ ניסים ואטורי מהליכוד אסק איפה הכסף עם ענת דוידוב צפו anatdavidov הצטרפו לגיא פלג guypch2news גדולי הרבנים החרדים מהזרם הליטאי מורים להתחסן נגד קורונה  דר אבישי בן חיים avishaybenhaim הם אומרים שהקבה עשה סקר 103fm סער ושאשא ביטון עם 20 מנדטים  טל שלו talshalev1 וואלה מבחינה הגיונית נתניהו וגנץ לא אמורים לרצות בחי סקר 103fm סער ושאשא ביטון עם 20 מנדטים  יהודה שלזינגר judash0 נתניהו בז לסקרים האלה
טל שלו talshalev1 המנ האם ישראל צריכה לספק חיסוני קורונה לרצועת עזה
אבי יששכרוף issacharoff לחמאס יש כסף לחפור מנהרות  שישלמו על החי אראל סגל ואבי יששכרוף בשידור erelsegal issacharoff אביהו מדינה שיתף בנס שקרה לו במלחמת יום הכיפורים הייתה פליטה של חייל במארב המצרי שחשב שאני מטרה נהדרת ושלח לי נט חכ אלכס קושניר ישראל ביתנו על האפשרות לאיחוד עם מפלגתו של סער יש עתיד וימינה אנחנו חייבים להתקדם לשים את המח ארקדי דוכין נעלב מכספית שלא רצה להעלות אותו לשידור כי הוא מנומנם
דוכין אני לא מנומנם ולא רדום אני יכול לנשוך ההפסד של ינון מגל בהתערבות על תוצאות הבחירות בארהב  בן כספית יש קבוצת מפגינים שמתארגנת להפגין מול ביתך בדרישה ש לראיון המלא עם אלעד מגל אחיו של yinonmagal  
gtgt אהוד יערי חדשות 12 הפלסטינים החליטו לא לעמוד יותר כנגד הסכמי הנורמליזציה ולכן הם לא יגנו לא ינתקו יחסים לא י מפקד מגב לשעבר דוד צור על ניצב קובי שבתאי שמיועד למפכלות מינוי קצת מפתיע הוא דילג על תפקיד של מפקד מחוז שבדרך אלעד מגל אחיו של ינון שפיקד בעבר על ד ראש המוסד החדש סיפר על האיש הוא בן אדם עם כישורים גבוהים מאוד אפשר מא אלעד מגל אחיו של ינון שפיקד בעבר על ד ראש המוסד החדש סיפר על האיש הוא בן אדם עם כישורים גבוהים מאוד אפשר מא מגל זוכר שהשתחצנת שהיית בניו יורק 4 שנים אז אני ישנתי בדירה של ד בסדר בדירה של ראש המוסד החדש בוא נתחיל מזה הצטרפו לבן כספית וינון מגל bencaspit yinonmagal חכ יפעת שאשא ביטון הצטרפה לגדעון סער  יור הקואליציה חכ מיקי זהר zoharm7 ליכוד היתה לה תרומה מאוד גדולה לגל ה ליברמן מציע חיבור עם לפיד סער ובנט  יור הקואליציה חכ מיקי זהר zoharm7 ליכוד יש לי שם למפלגה הזאת רק לא ביב יור הקואליציה חכ מיקי זהר zoharm7 ליכוד לא נוכל להמשיך לתפקד עם ניסנקורן כשר משפטים
golanyochpaz nissim_mishal יור הקואליציה חכ מיקי זהר zoharm7 ליכוד אין מגעים עם כחול לבן הם לא מוכנים לשמוע הולכים לבחירות וכחול לבן ל לתוצאות המלאות לחצו כאן gtgt מפקד מגב ניצב יעקב שבתאי נבחר לתפקיד מפכל המשטרה  משה נוסבאום חדשות 12 אני מכיר אותו הוא אחלה גבר השר אוחנה השרה גילה גמליאל gilagamliel ליכוד מצבו המשפטי של ראש הממשלה הולך ומשתפר עכשיו נדרשים לתקן את כתב האישום שלו השרה גילה גמליאל gilagamliel ליכוד עובדים כל הזמן מאחורי הקלעים כדי למנוע בחירות אני מאמינה שעם רצון טוב אפשר מפקד מגב ניצב יעקב שבתאי נבחר לתפקיד מפכל המשטרה  אמו תקווה הוא היה ילד טוב ומוצלח כזה שאי אפשר לעצור תמיד סקר 103fm עם מנחם לזר פאנלס פוליטיקס
ליכוד נתניהו 27 
תקווה חדשה גדעון סער ושאשא ביטון 20
יש עתידתלם לפיד ליברמן מציע להתאחד עם לפיד בנט וסער  חכ אלעזר שטרן elazar_stern יש עתידתלמ היוזמה נכונה צריך את האחדות הזא מינוי ניצב יעקב שבתאי למפכל  חכ אלוף במיל אלעזר שטרן elazar_stern יש עתידתלמ הייתי המפקד של קובי שבתאי בגד הצטרפו לגולן יוכפז וניסים משעל  golanyochpaz nissim_mishal",615,16.18421052631579
7_Eye,Media,,,10,תיעיבשה ןיעה,40,4.0,28,2.8,162,16.2,821,82.1,0.0804,0.806,0.1135,0.11319000000000004,"עיתונים בארהב פרסמו מאמרי מערכת בלתי חתומים על תאגיד אנרגיה המחבר עיתונאי שעבד עבור החברה
כל חדשות התקשורת מישר עיתונים בארהב פרסמו מאמרי מערכת בלתי חתומים על תאגיד אנרגיה המחבר עיתונאי שעבד עבור החברה
כל חדשות התקשורת מישר rt elad_man כנס העיתונות העצמאית שמארחת the7i  שלושה ימים בסיום 2020 ופתיחת 2021 והכל בזום בואו  גם אני אהיה שם  shakuf1 rt ela1949 השמחה הייתה מוקדמת מידי מוטי גילת  עתונאי אמיץ ופרשן בכיר ממשיך בעבודתו בכאן חדשות בתאגיד השידור הציבורי  rt mayanrodeh מישהי בדיגיטל של התאגיד עסוקה השבוע לבקשת המשטרה שופט האריך את איסור הפרסום שהוטל על חקירת רצח מ2017 משטרת_הצווים 5 התוכניות עם הרייטינג הכי גבוה אמש כלל האוכלוסייה בני 4

69
חדשות 12
קשת 12

59
יצאת צדיק
קשת 12

57 העיתון ידיעות אחרונות
המממן פורום בתי הדיור המוגן
הבעיה פרסום סמוי
למה זה כן פרסום סמוי שערי העיתונים להיום 16122020 גלריית השערים המלאה עכשיו באתר בוקר טוב  rt the7i בתאגיד השידור הציבורי הכריזו מלחמה על גסויות 

כלי הנשק כוכביות

הנימוק שמירה על נפשם של הצופים

הנפגעים חופש היצירה וציבור",68,6.8
Abou-Shahadeh,Politician,Meshutefet,Male,1,הדאחש-ובא,7,7.0,45,45.0,20,20.0,94,94.0,0.379,0.621,0.0,-0.9246,"הכנסת הצביעה היום להסדר חיבור חשמל ומים להתנחלויות לא חוקיות יהודיות אני בז לגזענות המכוערת של מי שהצביעו בעד 
בכ",52,52.0
Abutbul,Politician,Shas,Male,4,לובטובא,7,1.75,31,7.75,73,18.25,355,88.75,0.036250000000000004,0.878,0.08575,0.14705000000000001,"דמי חנוכה לאחר שהגשתי הצעה לסדר במליאת הכנסת ויזמתי דיון בוועדת הכספים על הענישה לכוללים שאיחרו במעט בהגשת ניהול ת חבר מועצת חכמי התורה מור הגאון הגדול הרב ראובן אלבז שליטא ראש ישיבת אור החיים בתפילת מי שבירך עבור ידידנו חכ דו rt bimmae_he יונתן מלך
יור השדולה_למען_שמירת_השבת abutbulm שב ומבקש להקדים ביציאות השבת מקווה שתשובת העירייה לעיתונות לא תהיה זהה לתשובה שתישלח אלי אין סעיף המתיר העסקת יהודים בשבת בנימוק לאחוקי של פג",38,9.5
Adamker,Journalist,Walla,Male,4,רקמדא יקי,26,6.5,250,62.5,77,19.25,352,88.0,0.0525,0.83675,0.11075,0.143,פחות משבוע לפני בליכוד בוחנים אם ניתן לדחות את המועד האחרון לפיזור הכנסת בדקו את המהלך משפטית לפי בכיר במפלגה  אם פעם רציתם להבין את סיפור כחול לבן והליכוד בתמונות ולא במילים היום זו ההזדמנות גנץ מחבק ומחייך אשכנזי והשאר צו הייעוץ המשפטי בכנסת הכריע פיזור הכנסת ביום שלישי בחצות הלילה לא ברביעי rt talshalev1 לא רק פרקליט ומפכל קרוב ל60 מינויים בממשלה ובשירות הציבורי מעוכבים כבר חודשים בגלל המשבר בין הליכוד וכחול לבן זו הרשימה,276,69.0
Allon,Journalist,Israel_Hayom,Male,1,ןולא ןועדג,0,0.0,9,9.0,5,5.0,21,21.0,0.0,0.667,0.333,0.3612,gidonsaar תודה רבה גדעון ,9,9.0
Almog,Journalist,Kann,Female,12,גומלא רמת,19,1.5833333333333333,464,38.666666666666664,123,10.25,538,44.833333333333336,0.010416666666666666,0.7274166666666666,0.26216666666666666,0.3685416666666667,הכתבה מהערב הכתבה מהערב b5podwmyof1ownq kann_news תודה רבה zachiboo kann_news תודה צחי natiperets kann_news תודה נתי michalrabi kann_news תודה רבה מיכלי אלופה ifatglick michalrabi kann_news תודה רבה את בעצמך  זה נס חנוכה כך אומר לנו ליאור זמן קצר אחרי ששמע שזהו יש זיכוי הדברים המלאים מיד ב חדשותהערב כמה יצאתי יד למצח מאחת ועד שכחתי את המלה הכי חשובה בציוץ הכוונה היתה ההערכה היא שזה יקרה יותר מהר מזה שר המשפטים חתם על צו הסגרה למלכה לייפר זה אומר שעל הנייר יש עד חודשיים לבצע את ההסגרה ההערכה היא שזה יקרה הרבה יותר מזה tshpitsen כל כך כל כך נכון צמרמורת אין לי מלה אחרת אחרי עשר שנים אחרי שכבר ישב בכלא כמה חודשים אחרי ההקלטות שחשפנו ב kann_news  שמתעדות א,483,40.25
Amsalem,Politician,Likud,Male,3,םלסמא,36,12.0,730,243.33333333333334,60,20.0,266,88.66666666666667,0.043000000000000003,0.7333333333333334,0.22399999999999998,0.5983,"אני מברך ומאחל בהצלחה רבה ליעקב ינקי קוינט מנהל רשות החברות הממשלתיות שאחרי המלצת ועדת האיתור וחתימת רהמ שר ה 2 gtgt של לפיד ויוגב בחסות הגב זילבר ומר מנדלבליט
אין לך זיקה אישית לנושא
על זה אמרו חזל טובל ושרץ בידו 1 לאדמורית הצדיקה מירב ארלוזורוב שטובלת מדי יום במקווה הצדק של עיתון התעמולה 
יש לך דרישת שלום מאחותך מיכל ארלו",766,255.33333333333334
Amsterdamski,Journalist,Kann,Male,11,יקסמדרטסמא לואש,3,0.2727272727272727,1059,96.27272727272727,142,12.909090909090908,636,57.81818181818182,0.028727272727272726,0.8175454545454546,0.15372727272727274,0.16515454545454544,"הודעה מנהלית במצב טיסה עד ראשון חג שמח catrobotil תודה רבה סליחה מתקנים אותי באוזניה שהמוקד הוא של רשות התקשוב לא ישראל דיגיטלית ariel234156 רשות היחסים זה חזק אין קונספט כזה יותר מדי שניצלים
החוקים gontarzn שני בני זוג ועוד משהו שלמדתי עליו בזמן העבודה של הפרק יש לכם הוריםסביםאתם בעצמכם שצריכים סיוע בעבודה עם ממשקים דיגיטליים יש ואפשר גם להעביר בעלות רכב און ליין מבלי לצאת מהבית וללכת להתייבש בדואר לא אפשרי כרגע לכלי רכב שרשומים על שם יותר מ בתוך הפרק הזה תמצאו כמה דוגמאות לשירותים דיגיטליים חדשים למשל מנוע הזכויות כרגע בהרצה שמאפשר לכם לדעת מה הזכויו על הבוקר מישהו כתב לי היית רך מדי איתם וואלה יש מצב אני לא מושלם אבל אני רואה בזה תמהיל  אחרי שירדתי עליהם כ סטארטאפ ניישן עאלק גרסת חיותכיס
במקום להסתלבט על עוד שירות ממשלתי ששכח להתחבר למאה ה21 החלטתי הפעם לנסות משהו",1062,96.54545454545455
Arutz_20,Media,,,42,20 ץורע,73,1.7380952380952381,716,17.047619047619047,320,7.619047619047619,1411,33.595238095238095,0.03854761904761904,0.6231190476190477,0.0764047619047619,0.09415476190476191," איחוד הרבנים החדש תוקף למחוק את הורה 1 והורה 2 במינוס 20 מעלות ועם מנוף יהודים מדליקים נרות חנוכה בחנוכיית קרח ענקית ברוסיה
חנוכה_לייב הזוכה בסרט הקצר בפסטיבל ירושלים סרט שמכפיש את חיילי צהל ומדינת ישראל  גם באפלה הכי גדולה  בני הנוער שלא ויתרו על הדלקת נרות חנוכה בשואה
shairosengaen גם באפלה הכי גדולה  בני הנוער שלא ויתרו על הדלקת נרות חנוכה בשואה
shairosengaen חידת קטאר  המדינה שמשחקת בכל המגרשים במזרח התיכון

לכתבתו המלאה של ברוך ידיד מי יקבל את החיסון ראשון ומתי אתם תוכלו להתחסן  כל הפרטים   שיא חדש שער הביטקוין מעל 20 אלף דולר   גנבו לכם את הוואטסאפ כך תשחזרו את החשבון
mor_bassan אורי נולדה במשקל 443 גרם  היום חגגה יום הולדת 9    איש התיאטרון והרדיו יעקב אגמון הלך לעולמו לראשונה בישראל  ניתוח נדיר להשתלת כליה עצמית בנער בן 16 חג לטבע צפו בזרימת מפלים ונחלים ברחבי הארץ לאור העלייה בתחלואה גנץ דורש מנתניהו לכנס את קבינט הקורונה מבשלים את הנגיף  שיטת החיטוי של חברת התעופה האמריקאית סקר אחוז מפתיע מקרב מצביעי כחול לבן בעד הסדרת ההתיישבות הצעירה גבר ואישה נהרגו בתאונה בבקעת הירדן גבר ואישה נהרגו בתאונה בבקעת הירדן לאחר הפרסום בערוץ 20 הדיון בבגץ בעניין חוק הלאום יועבר בשידור חי פורסמו שמות בני הזוג שמצאו את מותם בביהח אסף הרופא השרים יתבקשו לאשר בימים הקרובים את שלב הריסון המהודק נס בבית החולים  מטופלת התעוררה מתרדמת לאחר 30 יום נס גדול היה לנו באיכילוב  מטופלת התעוררה לאחר 30 יום בתרדמת אבנר נתניהו על יוזמת ליברמן שיוסיפו גם את שושנה הכבשה  פרסום ראשון בכירי רבני הציונות הדתית מתאגדים
לאחר חצי שנה של דיונים היום יושק איחוד הרבנים שעשוי להיות ההנהגה הח  הצפות וגשמים עזים ברחבי הארץ מפלס הכנרת עולה פומפיי ממשיכה לספק גילויים מדהימים למרות הגשם הסוער תפילת הלל וריקודים בהתיישבות החדשה  צפו בעקבות הגשמים עלייה במפלס כמה לכינרת מלאה הרף שהציבה הממשלה לריסון מהודק נחצה הקנגורו מפתיע מסוגל לתקשר עם בני אדם",789,18.785714285714285
